Track_ID,Main_Field,Sub_Track,Difficulty_Level,Avg_Salary_USD,Required_Skills,Programming_Languages,Learning_Time_Months,Job_Demand_Score,Certification_Recommended,Tools_Used,Industry_Using_It,Remote_Friendly,Growth_Rate_Percentage,Country_Demand,Gender,Age
18,UI/UX,UI Designer,Advanced," $88,984.00 ","APIs, TensorFlow, Kubernetes","MATLAB, Go",8,28,Google Data Engineer,"MySQL, Jira, Git",Finance,Yes,9.61,UAE,Female,53
19,Networking,Network Engineer,Advanced," $173,767.00 ","TensorFlow, Cloud, Systems Design","Rust, Java",25,82,Oracle DBA,"TensorFlow, Docker, MySQL",Retail,No,10.06,Egypt,Female,59
20,Cloud Computing,GCP Engineer,Beginner," $79,504.00 ","Linux, TensorFlow, Docker","C++, Java",9,54,CCNA,"Docker, Postman, Git",Tech,No,9.8,Germany,Male,54
21,Cybersecurity,Network Security,Advanced," $52,666.00 ","Kubernetes, Cybersecurity, APIs","Go, C#",6,60,CCNA,"Postman, Git, Kubernetes",Tech,Yes,11.11,Egypt,Female,39
22,IT Support,Helpdesk,Intermediate," $48,392.00 ","Linux, Kubernetes, APIs","Kotlin, Go",9,31,CEH,"Docker, MySQL, Jira",Tech,No,4.97,Australia,Male,59
23,Database Engineering,Data Modeling,Beginner," $129,135.00 ","Data Structures, APIs, Cybersecurity","Rust, JavaScript",24,81,Kubernetes CKA,"Kubernetes, Unity, MySQL",Finance,Yes,4.91,Canada,Female,29
24,Embedded Systems,Firmware Engineer,Intermediate," $50,965.00 ","Kubernetes, Docker, PyTorch","Swift, Python",28,54,TensorFlow Developer,"PyTorch, TensorFlow, Git",Healthcare,No,6.46,France,Female,59
25,Database Engineering,Data Modeling,Beginner," $153,252.00 ","Data Structures, Linux, PyTorch","Python, Swift",15,22,Oracle DBA,"Unity, Jira, MySQL",Healthcare,No,9.49,India,Female,30
26,Robotics,Autonomous Systems,Beginner," $138,806.00 ","Systems Design, Docker, Problem Solving","Rust, C#",15,46,Azure Administrator,"MongoDB, Git, Kubernetes",Manufacturing,No,6.99,USA,Female,28
27,Robotics,Control Systems,Intermediate," $162,409.00 ","TensorFlow, Networks, Kubernetes","Java, MATLAB",14,70,None,"Kubernetes, Docker, Git",Education,No,1.83,USA,Female,33
28,Data Science,NLP,Beginner," $162,096.00 ","Data Structures, TensorFlow, Problem Solving","Java, SQL",33,23,Oracle DBA,"Postman, MySQL, VS Code",Retail,Yes,11.03,USA,Female,25
29,Cloud Computing,GCP Engineer,Advanced," $145,878.00 ","Cloud, Algorithms, Docker","Rust, Go",16,62,CEH,"MongoDB, TensorFlow, Git",Retail,No,3.63,India,Female,57
30,Web Development,Full Stack,Intermediate," $102,623.00 ","Systems Design, Linux, Cloud","SQL, Go",8,78,Kubernetes CKA,"VS Code, Git, Docker",Education,No,8.8,Egypt,Female,57
31,DevOps,Cloud DevOps,Advanced," $83,585.00 ","Kubernetes, PyTorch, Cybersecurity","Java, Go",7,47,TensorFlow Developer,"Jira, Postman, Kubernetes",Finance,Yes,9.94,Australia,Male,19
32,UI/UX,UI Designer,Beginner," $65,939.00 ","TensorFlow, PyTorch, Docker","MATLAB, Go",31,81,TensorFlow Developer,"Unity, VS Code, MongoDB",Healthcare,No,7.16,Germany,Male,47
33,Robotics,Control Systems,Beginner," $66,105.00 ","Linux, Networks, TensorFlow","Kotlin, Java",29,81,AWS Solutions Architect,"Git, Docker, Kubernetes",Retail,Yes,2.66,Germany,Female,47
34,Game Development,Game Designer,Advanced," $168,376.00 ","Systems Design, Kubernetes, Problem Solving","Kotlin, MATLAB",28,81,AWS Solutions Architect,"TensorFlow, PyTorch, Jira",Education,Yes,1.51,UK,Female,29
35,UI/UX,UI Designer,Intermediate," $167,948.00 ","TensorFlow, Problem Solving, Algorithms","Python, Java",4,89,Azure Administrator,"Unity, MongoDB, Jira",Retail,Yes,6.86,Egypt,Female,27
36,Database Engineering,DBA,Advanced," $159,101.00 ","Systems Design, Data Structures, Algorithms","Go, Swift",34,70,AWS Solutions Architect,"MongoDB, Unity, Jira",Education,No,4.33,France,Male,28
37,Robotics,Autonomous Systems,Advanced," $113,530.00 ","Cloud, Systems Design, Problem Solving","SQL, Python",33,71,AWS Solutions Architect,"Git, MongoDB, Postman",Manufacturing,No,5.32,UAE,Female,32
38,Data Science,Big Data,Beginner," $79,353.00 ","PyTorch, Problem Solving, Linux","JavaScript, SQL",13,58,Azure Administrator,"Kubernetes, TensorFlow, VS Code",Healthcare,Yes,6.72,USA,Male,33
39,Artificial Intelligence,Computer Vision,Beginner," $107,172.00 ","Networks, Data Structures, Docker","Java, Swift",18,78,Azure Administrator,"MySQL, Git, TensorFlow",Finance,No,7.9,UK,Male,34
40,Database Engineering,Data Modeling,Intermediate," $152,859.00 ","Cloud, APIs, Networks","JavaScript, Python",24,20,AWS Solutions Architect,"Kubernetes, Jira, Postman",Manufacturing,No,4.02,Germany,Male,43
41,Embedded Systems,Firmware Engineer,Advanced," $90,859.00 ","PyTorch, Problem Solving, Linux","C#, Java",27,51,None,"MongoDB, Jira, VS Code",Tech,Yes,7.31,Canada,Male,19
42,Game Development,Unity Developer,Beginner," $110,467.00 ","Kubernetes, Systems Design, PyTorch","Java, JavaScript",12,75,Azure Administrator,"MongoDB, Jira, Docker",Retail,Yes,4,Canada,Male,29
43,Mobile Development,Android,Beginner," $65,342.00 ","APIs, Docker, Kubernetes","Python, MATLAB",25,88,Oracle DBA,"TensorFlow, Unity, VS Code",Healthcare,Yes,8.14,Canada,Female,43
44,IT Support,Helpdesk,Intermediate," $129,045.00 ","Kubernetes, Docker, Cybersecurity","JavaScript, Python",12,35,AWS Solutions Architect,"MySQL, Jira, TensorFlow",Retail,Yes,10.27,USA,Female,40
45,Cybersecurity,SOC Analyst,Beginner," $126,202.00 ","Data Structures, Cloud, Linux","C#, Python",7,99,Google Data Engineer,"MongoDB, Postman, TensorFlow",Manufacturing,No,1.93,USA,Female,35
46,UI/UX,Interaction Design,Intermediate," $89,811.00 ","Linux, Docker, Cybersecurity","SQL, Swift",20,86,TensorFlow Developer,"MongoDB, VS Code, MySQL",Manufacturing,Yes,10,UAE,Female,49
47,Game Development,Game Designer,Advanced," $173,983.00 ","APIs, Cybersecurity, Problem Solving","MATLAB, JavaScript",8,71,Azure Administrator,"MongoDB, Git, MySQL",Manufacturing,No,11.38,USA,Female,55
48,Blockchain,Web3 Developer,Intermediate," $111,295.00 ","Docker, Problem Solving, PyTorch","Kotlin, Rust",19,20,TensorFlow Developer,"Kubernetes, MongoDB, Jira",Education,Yes,8.59,India,Male,20
49,Database Engineering,DBA,Intermediate," $79,384.00 ","Networks, APIs, Problem Solving","Kotlin, C#",24,50,Azure Administrator,"Git, Kubernetes, Docker",Finance,Yes,10.71,France,Female,55
50,UI/UX,UX Researcher,Beginner," $70,306.00 ","Algorithms, APIs, Data Structures","Rust, C++",8,35,None,"Kubernetes, Unity, VS Code",Tech,Yes,10.08,Canada,Female,20
51,IT Support,IT Operations,Intermediate," $147,512.00 ","Systems Design, Data Structures, Cloud","Rust, JavaScript",3,20,TensorFlow Developer,"VS Code, Unity, Kubernetes",Retail,Yes,2.48,USA,Male,47
52,Data Science,BI Analyst,Advanced," $60,932.00 ","Systems Design, Cybersecurity, Problem Solving","SQL, Go",33,28,CCNA,"Jira, VS Code, Git",Tech,Yes,4.43,UAE,Female,18
53,Machine Learning,ML Engineering,Advanced," $55,151.00 ","Cybersecurity, Kubernetes, Cloud","Rust, Kotlin",17,22,Azure Administrator,"MySQL, VS Code, Unity",Tech,No,10.49,Egypt,Male,47
54,Data Science,BI Analyst,Intermediate," $160,885.00 ","Kubernetes, Problem Solving, APIs","Swift, SQL",34,43,CCNA,"Postman, VS Code, Docker",Retail,No,10.43,Canada,Female,49
55,Machine Learning,ML Engineering,Intermediate," $156,336.00 ","Docker, APIs, PyTorch","Swift, SQL",9,55,Oracle DBA,"Kubernetes, Jira, PyTorch",Finance,No,10.93,Australia,Male,45
56,Web Development,Frontend,Intermediate," $166,063.00 ","Data Structures, Cybersecurity, Linux","Swift, Java",26,44,Azure Administrator,"MongoDB, VS Code, Unity",Manufacturing,Yes,1.55,Egypt,Female,38
57,IT Support,Helpdesk,Beginner," $61,357.00 ","Cybersecurity, APIs, Cloud","C#, Go",19,85,TensorFlow Developer,"Kubernetes, MySQL, TensorFlow",Finance,Yes,8.76,Germany,Female,30
58,Database Engineering,DBA,Advanced," $90,108.00 ","PyTorch, Data Structures, Kubernetes","JavaScript, C#",34,87,CEH,"TensorFlow, Unity, MySQL",Finance,Yes,3.99,Germany,Male,44
59,Robotics,Robot Design,Beginner," $131,412.00 ","Data Structures, Kubernetes, Docker","Java, C++",21,27,TensorFlow Developer,"PyTorch, Postman, Kubernetes",Finance,Yes,10.42,UAE,Male,53
60,DevOps,CI/CD,Beginner," $126,416.00 ","Kubernetes, Cloud, TensorFlow","C#, Python",34,67,AWS Solutions Architect,"MySQL, Git, Jira",Manufacturing,Yes,2.48,Canada,Male,24
61,Robotics,Autonomous Systems,Beginner," $59,830.00 ","APIs, Cloud, Systems Design","SQL, C++",23,49,AWS Solutions Architect,"Unity, Docker, MongoDB",Tech,Yes,11.72,Australia,Male,39
62,Mobile Development,Android,Intermediate," $174,508.00 ","Linux, Cybersecurity, Cloud","C#, SQL",9,46,Google Data Engineer,"Docker, Unity, MySQL",Manufacturing,Yes,6.06,India,Male,27
63,Cloud Computing,GCP Engineer,Intermediate," $94,045.00 ","PyTorch, Cloud, Kubernetes","Swift, Rust",34,47,CCNA,"VS Code, Unity, PyTorch",Healthcare,Yes,8.52,France,Male,56
64,Web Development,Full Stack,Advanced," $176,672.00 ","Algorithms, Systems Design, PyTorch","Python, Kotlin",6,80,Kubernetes CKA,"Postman, TensorFlow, Kubernetes",Retail,No,6.74,UAE,Male,32
65,IT Support,IT Operations,Advanced," $142,946.00 ","Systems Design, Linux, Kubernetes","C#, Java",18,63,Google Data Engineer,"Unity, Git, Docker",Tech,Yes,11.37,India,Male,32
66,Networking,Network Admin,Beginner," $83,484.00 ","Systems Design, Cybersecurity, Cloud","C++, Go",7,56,Google Data Engineer,"Jira, MongoDB, TensorFlow",Retail,No,11.25,USA,Female,21
67,Networking,Network Admin,Intermediate," $136,752.00 ","Docker, APIs, Algorithms","Go, C++",32,79,TensorFlow Developer,"VS Code, Unity, Jira",Tech,No,10.46,France,Female,49
68,IT Support,Helpdesk,Advanced," $105,726.00 ","Systems Design, Cybersecurity, Cloud","Rust, C#",22,51,Oracle DBA,"VS Code, Unity, TensorFlow",Retail,Yes,10.44,Germany,Male,40
69,IT Support,Helpdesk,Beginner," $158,015.00 ","Docker, APIs, Data Structures","JavaScript, Python",4,37,CEH,"Git, TensorFlow, Jira",Tech,Yes,7.35,USA,Female,23
70,Cloud Computing,GCP Engineer,Beginner," $143,746.00 ","TensorFlow, Networks, Cybersecurity","C++, Swift",25,51,None,"MySQL, Jira, TensorFlow",Healthcare,No,8.55,Australia,Female,41
71,Web Development,Full Stack,Beginner," $58,070.00 ","Systems Design, Linux, Problem Solving","Kotlin, Rust",3,46,CEH,"VS Code, TensorFlow, MySQL",Finance,No,4.6,India,Female,37
72,IT Support,IT Operations,Advanced," $145,864.00 ","Cloud, Networks, PyTorch","Python, Swift",30,61,TensorFlow Developer,"Jira, MongoDB, PyTorch",Healthcare,No,10,Australia,Female,54
73,Networking,Network Admin,Beginner," $69,592.00 ","Kubernetes, Systems Design, Networks","Python, C++",25,32,CEH,"Unity, MongoDB, Jira",Healthcare,No,2.36,Canada,Male,37
74,Data Science,BI Analyst,Beginner," $150,627.00 ","Systems Design, Docker, Algorithms","SQL, Swift",21,84,None,"TensorFlow, Postman, Kubernetes",Manufacturing,Yes,2.24,Egypt,Female,29
75,Robotics,Autonomous Systems,Intermediate," $110,031.00 ","Linux, PyTorch, Systems Design","MATLAB, JavaScript",15,95,AWS Solutions Architect,"Kubernetes, Docker, MongoDB",Education,Yes,10.81,France,Male,50
76,Cloud Computing,AWS Architect,Advanced," $164,046.00 ","Networks, Algorithms, TensorFlow","Go, Kotlin",29,85,AWS Solutions Architect,"Postman, Docker, Jira",Healthcare,Yes,6.1,India,Female,45
77,UI/UX,UX Researcher,Intermediate," $164,862.00 ","Docker, Kubernetes, Systems Design","Java, Go",23,70,Oracle DBA,"TensorFlow, Unity, Git",Education,No,6.39,France,Female,25
78,UI/UX,UX Researcher,Intermediate," $166,141.00 ","Problem Solving, Networks, Kubernetes","Python, Kotlin",23,77,None,"Kubernetes, VS Code, MySQL",Retail,No,10.53,India,Female,18
79,Cybersecurity,Penetration Testing,Intermediate," $71,024.00 ","Cybersecurity, Algorithms, Problem Solving","JavaScript, Swift",7,34,TensorFlow Developer,"Docker, Git, Unity",Retail,Yes,5.28,UAE,Male,54
80,Robotics,Control Systems,Intermediate," $153,632.00 ","Cybersecurity, Systems Design, Linux","C++, MATLAB",9,72,Oracle DBA,"MongoDB, PyTorch, Docker",Tech,No,4.35,Germany,Female,39
81,Networking,Network Admin,Beginner," $154,692.00 ","Linux, APIs, Cybersecurity","SQL, Rust",5,25,Azure Administrator,"PyTorch, MongoDB, VS Code",Education,Yes,2.04,India,Male,23
82,Data Science,Big Data,Beginner," $113,523.00 ","Algorithms, Problem Solving, TensorFlow","Java, Swift",17,32,CEH,"VS Code, TensorFlow, Kubernetes",Tech,No,11.68,France,Female,38
83,Artificial Intelligence,NLP,Intermediate," $123,613.00 ","Kubernetes, Cloud, Data Structures","C++, Swift",20,36,AWS Solutions Architect,"Git, Kubernetes, Postman",Finance,No,5.69,UAE,Male,49
84,UI/UX,UI Designer,Intermediate," $68,251.00 ","TensorFlow, APIs, Systems Design","MATLAB, Go",27,81,CEH,"MySQL, VS Code, Jira",Finance,Yes,10.28,India,Female,52
85,Embedded Systems,IoT Developer,Intermediate," $140,235.00 ","Algorithms, Kubernetes, Linux","SQL, Rust",2,77,Azure Administrator,"VS Code, TensorFlow, MongoDB",Tech,Yes,11.11,USA,Male,32
86,Mobile Development,iOS,Advanced," $170,798.00 ","Networks, Kubernetes, TensorFlow","Python, Go",35,67,CEH,"Jira, VS Code, Kubernetes",Manufacturing,Yes,3.42,UAE,Male,22
87,Machine Learning,Deep Learning,Intermediate," $154,548.00 ","Systems Design, Networks, Docker","C#, Go",2,35,AWS Solutions Architect,"Postman, Jira, Git",Manufacturing,No,6.93,India,Female,23
88,Robotics,Control Systems,Beginner," $69,375.00 ","Algorithms, Data Structures, APIs","Python, JavaScript",6,41,None,"MySQL, MongoDB, TensorFlow",Retail,Yes,9.17,Canada,Male,42
89,DevOps,CI/CD,Beginner," $107,215.00 ","Cybersecurity, Docker, Data Structures","Rust, Kotlin",23,76,Kubernetes CKA,"MySQL, Docker, Postman",Manufacturing,No,5.09,India,Female,57
90,Game Development,Game Designer,Intermediate," $49,435.00 ","Networks, Systems Design, Docker","Python, Go",6,66,Google Data Engineer,"Jira, MongoDB, Git",Education,No,1.93,Egypt,Female,46
91,Web Development,Backend,Advanced," $118,781.00 ","Problem Solving, TensorFlow, Kubernetes","Python, Rust",6,95,Oracle DBA,"MySQL, Unity, MongoDB",Healthcare,Yes,1.68,UAE,Female,24
92,Artificial Intelligence,Computer Vision,Intermediate," $161,172.00 ","Data Structures, Algorithms, PyTorch","SQL, JavaScript",34,42,Oracle DBA,"Docker, PyTorch, Kubernetes",Education,No,2,France,Female,57
93,Networking,Network Engineer,Intermediate," $138,116.00 ","TensorFlow, Algorithms, Networks","Python, Java",35,71,Google Data Engineer,"Git, Kubernetes, VS Code",Tech,Yes,5.43,France,Female,30
94,Database Engineering,Data Modeling,Intermediate," $63,289.00 ","Networks, Docker, TensorFlow","Go, Kotlin",20,77,Oracle DBA,"PyTorch, Docker, Kubernetes",Finance,No,6.76,Canada,Female,55
95,Data Science,BI Analyst,Advanced," $81,975.00 ","Algorithms, Docker, TensorFlow","Java, Python",6,23,Google Data Engineer,"Jira, Git, Docker",Healthcare,Yes,7.97,France,Female,35
96,Data Science,Big Data,Beginner," $144,182.00 ","Algorithms, Cloud, Networks","C++, JavaScript",3,51,Kubernetes CKA,"Docker, Jira, Postman",Education,No,11.37,Canada,Female,19
97,Blockchain,Web3 Developer,Advanced," $51,938.00 ","Docker, Networks, Kubernetes","MATLAB, Python",34,52,None,"Unity, TensorFlow, PyTorch",Manufacturing,Yes,10.02,UAE,Female,25
98,DevOps,Automation,Intermediate," $133,610.00 ","Linux, Cybersecurity, Cloud","JavaScript, Kotlin",13,86,Kubernetes CKA,"Kubernetes, PyTorch, Docker",Tech,No,10.11,Canada,Female,28
99,Database Engineering,Data Modeling,Intermediate," $109,449.00 ","PyTorch, Data Structures, Problem Solving","Java, Python",30,32,None,"Jira, Git, Postman",Finance,No,3.75,UK,Female,50
100,Robotics,Control Systems,Intermediate," $43,373.00 ","PyTorch, Problem Solving, TensorFlow","Go, Java",3,54,CEH,"Postman, PyTorch, Unity",Finance,No,5.03,UK,Male,55
101,Blockchain,Smart Contracts,Beginner," $134,297.00 ","Problem Solving, Networks, TensorFlow","Java, C++",9,45,TensorFlow Developer,"MongoDB, MySQL, Kubernetes",Manufacturing,No,8.66,UK,Male,44
102,Cybersecurity,Penetration Testing,Beginner," $105,953.00 ","APIs, Data Structures, Kubernetes","MATLAB, C#",8,87,None,"MySQL, TensorFlow, Docker",Retail,No,8.78,Egypt,Female,37
103,Mobile Development,Cross-platform,Advanced," $78,513.00 ","Systems Design, APIs, Cybersecurity","Java, Swift",12,48,CEH,"PyTorch, Git, MySQL",Education,Yes,1.91,India,Female,29
104,Web Development,Frontend,Beginner," $100,692.00 ","Data Structures, Cybersecurity, Linux","C++, Kotlin",11,92,None,"PyTorch, Unity, MongoDB",Retail,No,7.47,France,Female,60
105,Mobile Development,iOS,Beginner," $154,352.00 ","Problem Solving, APIs, Cloud","Java, C#",19,43,Kubernetes CKA,"Postman, Docker, Kubernetes",Education,Yes,10.6,Australia,Female,48
106,IT Support,IT Operations,Beginner," $101,476.00 ","PyTorch, Networks, Kubernetes","C++, Kotlin",13,74,Oracle DBA,"Unity, PyTorch, Postman",Education,Yes,9.38,UAE,Female,44
107,Cloud Computing,AWS Architect,Beginner," $152,856.00 ","Linux, Problem Solving, Networks","C++, Python",31,36,CEH,"PyTorch, Docker, Kubernetes",Manufacturing,Yes,7.11,France,Female,49
108,IT Support,Helpdesk,Advanced," $171,800.00 ","Problem Solving, Cybersecurity, Kubernetes","Python, JavaScript",23,32,AWS Solutions Architect,"Git, Jira, MongoDB",Education,No,10.9,USA,Female,27
109,Game Development,Unity Developer,Intermediate," $119,459.00 ","Cybersecurity, PyTorch, Data Structures","Python, Swift",13,80,CEH,"Docker, PyTorch, TensorFlow",Healthcare,No,11.01,Egypt,Female,20
110,Artificial Intelligence,NLP,Beginner," $99,163.00 ","Cloud, Docker, Algorithms","JavaScript, Swift",15,71,CEH,"Kubernetes, VS Code, TensorFlow",Tech,Yes,7.52,Canada,Male,44
111,Game Development,Unreal Developer,Intermediate," $45,486.00 ","Problem Solving, Algorithms, Linux","Kotlin, MATLAB",17,88,CCNA,"TensorFlow, Git, Kubernetes",Manufacturing,Yes,4.58,India,Female,52
112,Mobile Development,iOS,Advanced," $127,508.00 ","Cloud, TensorFlow, PyTorch","Java, C#",24,35,Azure Administrator,"Git, Jira, MongoDB",Retail,No,9.79,UAE,Male,48
113,UI/UX,UX Researcher,Intermediate," $124,076.00 ","Linux, Cybersecurity, Data Structures","Rust, C#",15,24,TensorFlow Developer,"Postman, Kubernetes, Jira",Retail,Yes,9.24,India,Female,32
114,Database Engineering,DBA,Beginner," $114,460.00 ","Cloud, PyTorch, Algorithms","JavaScript, Java",12,37,Oracle DBA,"Git, VS Code, Unity",Manufacturing,No,11.67,Australia,Female,33
115,Networking,Network Admin,Advanced," $41,542.00 ","Docker, PyTorch, Data Structures","Java, Swift",14,59,Kubernetes CKA,"Postman, VS Code, Git",Tech,No,2.26,France,Male,30
116,Embedded Systems,Firmware Engineer,Advanced," $133,105.00 ","Algorithms, Kubernetes, PyTorch","Go, C#",28,85,Google Data Engineer,"Jira, TensorFlow, Git",Healthcare,Yes,2.35,UK,Female,52
117,Cybersecurity,Network Security,Beginner," $94,693.00 ","TensorFlow, Data Structures, Docker","C++, Rust",20,27,Oracle DBA,"Jira, Kubernetes, MySQL",Tech,Yes,5.43,India,Male,28
118,Machine Learning,ML Engineering,Beginner," $172,396.00 ","Linux, Algorithms, Cybersecurity","Python, SQL",5,55,CEH,"Kubernetes, MySQL, Git",Healthcare,No,5.45,Australia,Female,38
119,Machine Learning,Deep Learning,Beginner," $59,870.00 ","Kubernetes, TensorFlow, Data Structures","C#, Go",20,80,Google Data Engineer,"Kubernetes, MySQL, TensorFlow",Manufacturing,No,5.47,UK,Female,28
120,Cybersecurity,Penetration Testing,Beginner," $66,790.00 ","Systems Design, Cloud, Cybersecurity","Rust, JavaScript",28,93,Oracle DBA,"Postman, PyTorch, VS Code",Education,No,11.02,Egypt,Male,47
121,Data Science,BI Analyst,Intermediate," $55,485.00 ","Docker, Linux, Systems Design","Python, Rust",4,64,TensorFlow Developer,"VS Code, TensorFlow, Jira",Manufacturing,Yes,1.62,Canada,Female,52
122,Mobile Development,Cross-platform,Intermediate," $43,709.00 ","PyTorch, Cloud, APIs","Python, C++",21,91,Kubernetes CKA,"Kubernetes, Git, Jira",Manufacturing,Yes,2.73,Egypt,Male,39
123,Database Engineering,Data Modeling,Beginner," $82,918.00 ","Linux, Cloud, Docker","Swift, SQL",2,22,CCNA,"VS Code, Postman, PyTorch",Manufacturing,No,7.63,Egypt,Female,55
124,Blockchain,Web3 Developer,Beginner," $101,629.00 ","Problem Solving, Docker, Data Structures","C#, Python",26,75,AWS Solutions Architect,"Postman, TensorFlow, MySQL",Finance,No,7.05,France,Male,48
125,Web Development,Full Stack,Advanced," $154,821.00 ","APIs, PyTorch, Problem Solving","MATLAB, SQL",33,64,Google Data Engineer,"VS Code, PyTorch, Kubernetes",Education,Yes,1.95,India,Male,31
126,UI/UX,UI Designer,Intermediate," $168,148.00 ","TensorFlow, Problem Solving, Cloud","Java, JavaScript",17,94,CCNA,"Jira, TensorFlow, Unity",Healthcare,No,11.15,UAE,Female,41
127,Networking,Network Admin,Advanced," $131,362.00 ","APIs, TensorFlow, Cloud","Go, Rust",20,39,CEH,"Jira, Postman, Kubernetes",Finance,No,2.29,Canada,Female,49
128,Artificial Intelligence,AI Research,Intermediate," $111,726.00 ","Problem Solving, Docker, Cloud","C#, MATLAB",15,34,None,"Postman, Jira, Unity",Education,Yes,6.27,France,Male,53
129,UI/UX,UX Researcher,Beginner," $150,133.00 ","Algorithms, TensorFlow, Networks","Go, C++",4,35,TensorFlow Developer,"Kubernetes, MySQL, Postman",Finance,No,9.24,Canada,Female,49
130,IT Support,Technical Support,Intermediate," $178,186.00 ","Problem Solving, Docker, PyTorch","MATLAB, C++",13,93,Azure Administrator,"PyTorch, Git, MySQL",Healthcare,No,11.48,USA,Female,32
131,Robotics,Robot Design,Intermediate," $61,447.00 ","Data Structures, Linux, APIs","Rust, JavaScript",13,43,Kubernetes CKA,"VS Code, Git, MongoDB",Education,Yes,8.01,USA,Female,60
132,UI/UX,Interaction Design,Beginner," $49,337.00 ","Docker, Linux, APIs","JavaScript, Rust",29,55,None,"MySQL, Postman, Jira",Manufacturing,No,6.37,Australia,Male,52
133,Data Science,BI Analyst,Advanced," $124,665.00 ","TensorFlow, Cybersecurity, Kubernetes","Kotlin, Python",29,60,None,"Docker, Kubernetes, VS Code",Manufacturing,No,4.23,USA,Male,20
134,DevOps,CI/CD,Beginner," $161,790.00 ","Kubernetes, Linux, Networks","Java, Python",18,92,Google Data Engineer,"VS Code, PyTorch, Docker",Healthcare,Yes,4.75,France,Male,33
135,Web Development,Full Stack,Advanced," $97,043.00 ","PyTorch, Systems Design, Cybersecurity","Go, JavaScript",14,48,TensorFlow Developer,"Postman, Docker, Kubernetes",Manufacturing,Yes,2.9,Canada,Male,22
